id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,source_url,confidence_score,notes,confidence_tier,_nation_sort
3aa050071de2,,,,Conwy County Borough,,,,53.213254,-3.5095656,unknown,unknown,Bryndeunydd Baptist Chapel,1877.0,1870s,wikidata_replaces_church,http://www.wikidata.org/entity/Q99448925,0.95,Wikidata: http://www.wikidata.org/entity/Q99448925,high,5.0
dc6675613949,,,"Bedol Library, Ysgol y Bedol, Folland Road, Garnant, Carmarthenshire, SA18 2GB",Carmarthenshire,,,,51.805146944,-3.905018055,hospitality,pub,Bedol Library,,,wikidata_replaces_church,http://www.wikidata.org/entity/Q47523046,0.95,Wikidata: http://www.wikidata.org/entity/Q47523046,high,5.0
4a0797a2ab90,,,,Bath,,,,51.381388888,-2.358888888,unknown,unknown,Bath Abbey,,,wikidata_replaces_church,https://en.wikipedia.org/wiki/Bath_Abbey,0.95,Wikidata: http://www.wikidata.org/entity/Q334399,high,5.0
692fe6943b1c,,,,,,,,,,unknown,unknown,monastère Saint-Denis-et-Saint-Séraphin,1944.0,1940s,wikidata_replaces_church,http://www.wikidata.org/entity/Q115507104,0.95,Wikidata: http://www.wikidata.org/entity/Q115507104,high,5.0
56281413f440,,,,Glasgow City,,,,55.8569,-4.24554,arts_culture,theatre,Tron Theatre,1981.0,1980s,wikidata_replaces_church,https://en.wikipedia.org/wiki/Tron_Theatre,0.95,Wikidata: http://www.wikidata.org/entity/Q7845421 | Also in: wikidata_replaces_church,high,5.0
1876c880a360,,,,Angus,,,,56.701763,-2.6091806,unknown,unknown,"Old Burial-Ground, Kinnaird",,,wikidata_replaces_church,http://www.wikidata.org/entity/Q56618572,0.95,Wikidata: http://www.wikidata.org/entity/Q56618572,high,5.0
97061cbd90e5,,,,Annesley,,,,53.0772,-1.23806,unknown,unknown,"All Saints' Church, Annesley",1874.0,1870s,wikidata_replaces_church,"https://en.wikipedia.org/wiki/All_Saints%27_Church,_Annesley",0.95,Wikidata: http://www.wikidata.org/entity/Q4729306,high,5.0
b57a44ef4551,,,,Shetland Islands,,,,60.176033,-1.245706,unknown,unknown,Tingwall Kirk,,,wikidata_replaces_church,http://www.wikidata.org/entity/Q3215131,0.95,Wikidata: http://www.wikidata.org/entity/Q3215131,high,5.0
c4981106705f,,,,Presteigne,,,,52.283138,-3.0510031,unknown,unknown,Ackhill Baptist Church,1930.0,1930s,wikidata_replaces_church,http://www.wikidata.org/entity/Q99449455,0.95,Wikidata: http://www.wikidata.org/entity/Q99449455,high,5.0
61fc290c14e2,,,,Argyll And Bute,,,,56.4289,-5.23677,unknown,unknown,"Kilespikeral Old Parish Church, Taynuilt",,,wikidata_replaces_church,http://www.wikidata.org/entity/Q17771830,0.95,Wikidata: http://www.wikidata.org/entity/Q17771830,high,5.0
f8bcaf570b2a,,,"Dalby Way, Coulby Newham, Middlesbrough, TS8 0TW",Middlesbrough,,,,54.52277,-1.21378,unknown,unknown,Middlesbrough Cathedral,,,wikidata_replaces_church,https://en.wikipedia.org/wiki/Middlesbrough_Cathedral,0.95,Wikidata: http://www.wikidata.org/entity/Q254404,high,5.0
0fd99cb1250f,,,"364 Brixton Road, London SW9 0TH",London Borough Of Lambeth,,,,51.466715,-0.113629,unknown,unknown,"Our Lady of the Rosary, Brixton",1870.0,1870s,wikidata_replaces_church,http://www.wikidata.org/entity/Q136231519,0.95,Wikidata: http://www.wikidata.org/entity/Q136231519,high,5.0
95461605cc5a,,,,Birmingham,,,,52.463597,-1.872342,unknown,unknown,Christ Church Sparkbrook,2012.0,2010s,wikidata_replaces_church,http://www.wikidata.org/entity/Q124815332,0.95,Wikidata: http://www.wikidata.org/entity/Q124815332,high,5.0
3ce16626e19e,,,,Moray,,,,57.468871,-3.3580256,unknown,unknown,"Knockando Parish Church, Upper Knockando",,,wikidata_replaces_church,http://www.wikidata.org/entity/Q56617247,0.95,Wikidata: http://www.wikidata.org/entity/Q56617247,high,5.0
