id,church_name,former_denomination,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,source,confidence_tier
3aa050071de2,,,Conwy County Borough,,,,53.213254,-3.5095656,unknown,unknown,Bryndeunydd Baptist Chapel,1877.0,1870s,wikidata_replaces_church,high
dc6675613949,,,Carmarthenshire,,,,51.805146944,-3.905018055,hospitality,pub,Bedol Library,,,wikidata_replaces_church,high
4a0797a2ab90,,,Bath,,,,51.381388888,-2.358888888,unknown,unknown,Bath Abbey,,,wikidata_replaces_church,high
692fe6943b1c,,,,,,,,,unknown,unknown,monastère Saint-Denis-et-Saint-Séraphin,1944.0,1940s,wikidata_replaces_church,high
56281413f440,,,Glasgow City,,,,55.8569,-4.24554,arts_culture,theatre,Tron Theatre,1981.0,1980s,wikidata_replaces_church,high
1876c880a360,,,Angus,,,,56.701763,-2.6091806,unknown,unknown,"Old Burial-Ground, Kinnaird",,,wikidata_replaces_church,high
97061cbd90e5,,,Annesley,,,,53.0772,-1.23806,unknown,unknown,"All Saints' Church, Annesley",1874.0,1870s,wikidata_replaces_church,high
b57a44ef4551,,,Shetland Islands,,,,60.176033,-1.245706,unknown,unknown,Tingwall Kirk,,,wikidata_replaces_church,high
c4981106705f,,,Presteigne,,,,52.283138,-3.0510031,unknown,unknown,Ackhill Baptist Church,1930.0,1930s,wikidata_replaces_church,high
61fc290c14e2,,,Argyll And Bute,,,,56.4289,-5.23677,unknown,unknown,"Kilespikeral Old Parish Church, Taynuilt",,,wikidata_replaces_church,high
f8bcaf570b2a,,,Middlesbrough,,,,54.52277,-1.21378,unknown,unknown,Middlesbrough Cathedral,,,wikidata_replaces_church,high
0fd99cb1250f,,,London Borough Of Lambeth,,,,51.466715,-0.113629,unknown,unknown,"Our Lady of the Rosary, Brixton",1870.0,1870s,wikidata_replaces_church,high
95461605cc5a,,,Birmingham,,,,52.463597,-1.872342,unknown,unknown,Christ Church Sparkbrook,2012.0,2010s,wikidata_replaces_church,high
3ce16626e19e,,,Moray,,,,57.468871,-3.3580256,unknown,unknown,"Knockando Parish Church, Upper Knockando",,,wikidata_replaces_church,high
e0b7c6e1d93a,,,Rushmoor,,,,51.25043,-0.76542,unknown,unknown,Empire Banqueting Hall,2015.0,2010s,wikidata_replaces_church,high
2ed4575347c5,,,East Dunbartonshire,,,,55.9392,-4.15528,unknown,unknown,"St Mary's Parish Church, Cowgate, Kirkintilloch",,,wikidata_replaces_church,high
2a2a792ddf8f,,,Ceredigion,,,,52.417534,-4.0827932,unknown,unknown,St Paul Methodist Centre,,,wikidata_replaces_church,high
bfeedebbf167,,,Barrowford,,,,53.851,-2.2227,unknown,unknown,"St Thomas's Church, Barrowford",,,wikidata_replaces_church,high
b4b0281ddf71,,,City Of Westminster,,,,51.4994,-0.127367,unknown,unknown,Westminster Abbey,,,wikidata_formerly_church,high
f711434bd7c8,,,Manchester,,,,53.4695,-2.20396,unknown,unknown,Anglican Church of St Benedict,,,wikidata_formerly_church,high
e6aba0e6bc6b,,,Wareham,,,,50.685341,-2.110189,hospitality,nightclub,Wareham Conservative Club,,,wikidata_formerly_church,high
20deaab8872f,,,Coventry,,,,52.407925,-1.507443,unknown,unknown,"Ruined Cathedral Church of St Michael, Coventry",,,wikidata_formerly_church,high
1ce0779d089c,,,Oundle,,,,52.48113831,-0.472465858,arts_culture,theatre,Rodolphe Stahl Theatre,,,wikidata_formerly_church,high
52b8333fe88b,,,Folkestone,,,,51.08051922,1.181215858,hospitality,pub,The Samuel Peto,,,wikidata_formerly_church,high
5e5e9fa91cb9,,,Wythall,,,,52.371966,-1.894451,unknown,unknown,"St Mary's Church, Wythall",,,wikidata_formerly_church,high
1775dfceee2b,,,Argyll And Bute,,,,55.444565,-5.6404544,unknown,unknown,"Old Parish Church, Kilmichael",,,wikidata_formerly_church,high
a39702144a54,,,Over Norton,,,,51.954377977,-1.539520466,residential,residential_general,St James,,,wikidata_formerly_church,high
